& 0
! 1
? 2
* 3
# 4
A 5
c 6
1 7
% 8
= 9
i 10
7 11
0 12
s 13
3 14
C 15
I 16
6 17
5 18
8 19
9 20
O 21
S 22
[ 23
F 24
( 25
l 26
4 27
e 28
H 29
B 30
2 31
N 32
n 33
) 34
P 35
] 36
r 37
o 38
